"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-14","9.40",",,X",,,"0.03",",,X,2400","0.0",",,X,","0.0",",,X,",,,"58",",,X","39",",,X","  330",",,X","  340",",,X","23.0",",,X","29.1",",,X",,,"    1",",,X",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-15","8.72",",,X",,,"0.11",",,X,2400","0.0",",,X,","0.0",",,X,",,,"39",",,X","35",",,X","   30",",,X","  350",",,X","16.1",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-16","9.40",",,X",,,"0.82",",,X,2400","0.1",",,X,","0.0",",,X,",,,"38",",,X","33",",,X","  320",",,X","  310",",,X","21.0",",,X","23.9",",,X",,,,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-17","11.63",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"46",",,X","36",",,X","  330",",,X","  330",",,X","21.0",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-18","12.97",",,X",,,"0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"36",",,X","25",",,X","  330",",,X","  330",",,X","21.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-19","16.11",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"52",",,X","31",",,X","  210",",,X","  210",",,X","25.1",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-20","18.12",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"56",",,X","31",",,X","  250",",,X","  260",",,X","34.9",",,X","46.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-21","8.50",",,X",,,"0.03",",,X,2400","0.1",",,X,","0.0",",,X,",,,"33",",,X","26",",,X","  290",",,X","  290",",,X","21.9",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-22","18.34",",,X",,,"0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"28",",,X","14",",,X","  300",",,X","  300",",,X","28.0",",,X","36.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-23","13.87",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"21",",,X","12",",,X","  300",",,X","  290",",,X","21.9",",,X","30.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-24","15.43",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"26",",,X","13",",,X","  320",",,X","  320",",,X","33.1",",,X","42.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","40.63915","-73.7639","2.7","2013-01-25","8.95",",,X",,,"0.05",",,X,2400","0.8",",,X,","0.0",",,X,",,,"24",",,X","14",",,X","  300",",,X","  300",",,X","21.9",",,X","25.9",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,
